name
Arnold Schwarzenegger
Adam Carolla
Albert Brooks
Bing Crosby
Billy Bob Thornton
Burt Lancaster
Billy Crystal
Bruce Campbell
Bill Macy
Bill Bixby
Bela Lugosi
Cecil B. DeMille
Chris Sarandon
The Amazing Criswell
David Janssen
Dwight Schultz
Desi Arnaz
Dennis Hopper
David Huffman
Danny Kaye
Elvis Presley
Eli Wallach
Ed Wood
Frank Zappa
Frank Sinatra
Fred Savage
Gene Kelly
Gary Coleman
Groucho Marx
George Peppard
Gene Hackman
Garrison Keillor
Gavin MacLeod
Gary Busey
Harry Connick Jr.
Humphrey Bogart
Harry Shearer
Ice-T
Joshua Jackson
Jack Lemmon
Jerry Lewis
James Cagney
John Wayne
James Spader
Joseph Cotten
Jim Henson
James Stewart
John Belushi
Jason Alexander
Jay Leno
Jon Voight
Johnny Weissmuller
Kyle MacLachlan
Kevin Spacey
Kevin Bacon
Kareem Abdul-Jabbar
Kelsey Grammer
Kim Milford
L. Frank Baum
Louis Armstrong
Lee Marvin
Lee Van Cleef
Mack Sennett
Martin Scorsese
Mr. T
Marlon Brando
Mel Brooks
Miles Davis
Mandy Patinkin
Morgan Freeman
Meat Loaf
Nicolas Cage
Orson Welles
Paul Robeson
Peter Falk
Quentin Tarantino
Ronald Reagan
Rob Reiner
Richard Hell
Steven Spielberg
Spike Lee
Spike Jonze
Sam Peckinpah
Sonny Bono
Tom Waits
Tupac Shakur
Ted Raimi
Tom Cruise
Tod Browning
Woody Allen
Walt Disney
Wallace Shawn
Blake Edwards
Bruce Lee
Micky Dolenz
Otto Preminger
Cary Grant
Charles Pierce
Freddie Prinze
Howard K. Smith
Al Pacino
Clark Gable
Dustin Hoffman
Ted Demme
Elia Kazan
Buster Keaton
Clint Eastwood
Tom Hanks
Anthony Quinn
Harrison Ford
John Huston
Mel Gibson
Gary Cooper
Mel Blanc
Brad Pitt
Paul Muni
Richard Barthelmess
Victor McLaglen
Spencer Tracy
Richard Burton
Sidney Poitier
Charlton Heston
Henry Fonda
Milton Berle
Dan Aykroyd
Paul Newman
Robert Urich
Miloš Forman
Leonardo DiCaprio
Robin Williams
Val Kilmer
Ray Milland
Leonard Nimoy
Jim Thorpe
Marc Connelly
John Travolta
Samuel L. Jackson
Eddie Murphy
Bob Keeshan
Scott Bakula
Leslie Nielsen
Laurel and Hardy
Jeff Bridges
Paul Lynde
Fred Gwynne
John Denver
Ron Howard
Kevin Smith
Gene Rayburn
James Baskett
Maurice Chevalier
Rod Steiger
Sylvester Stallone
Charles Laughton
Robert Redford
Raymond Burr
William Wyler
Warren Beatty
Walter Matthau
Jon Bon Jovi
Claude Rains
Fredric March
Peter Lorre
Bruce Willis
Doodles Weaver
Fred Astaire
Spanky McFarland
Jesse Ventura
Evel Knievel
Slim Pickens
Lionel Barrymore
Errol Flynn
Steven Seagal
Morris Chestnut
John Barrymore
Count Basie
Martin Sheen
Jack Albertson
Tony Curtis
Michael J. Fox
Charley Paddock
Justin Timberlake
Scatman Crothers
Kirk Douglas
George Burns
Tim Blake Nelson
Bob Fosse
Johnny Depp
Tex Avery
Christopher Reeve
Kevin Sorbo
DeForest Kelley
Roscoe Arbuckle
Gregory Peck
Michael Douglas
Harvey Keitel
Lou Tellegen
Billie Joe Armstrong
Jack Benny
George C. Scott
Oliver Hardy
Neville Brand
Nick Nolte
Fred MacMurray
Bronko Nagurski
LeVar Burton
Wil Wheaton
Tony Hawk
Robert Mitchum
Mickey Rooney
Jonathan Frakes
John Holmes
David Cassidy
Snoop Dogg
Jeff Cohen
Wayne Rogers
Ben Stiller
Corey Feldman
George Gobel
Brent Spiner
Van Dyke Parks
John Ratzenberger
Charles Boyer
Jimmy Durante
Michael McKean
David Lander
Andy Kaufman
Ernie Kovacs
Clarence Nash
Bobby Darin
Paul Anka
Denzel Washington
Phil Hartman
Bob Elliott
Calvert DeForest
Henny Youngman
Liev Schreiber
Dana Carvey
Adam Sandler
Lorne Michaels
Steve Martin
Chevy Chase
Garrett Morris
Bill Murray
Brian Doyle-Murray
Mike Myers
Michael Rosenbaum
George Abbott
Jerry Seinfeld
Danny DeVito
Steven Wright
Michael Richards
Larry David
Bud Abbott
Lou Costello
Abbott and Costello
Louis Prima
Sean Astin
Andy Griffith
Hank Azaria
José Ferrer
Sean Penn
Howard Keel
Paul Giamatti
Fred Rogers
Edgar Bergen
Jack Webb
Josh Ryan Evans
Lon Chaney Jr.
Gene Simmons
Warner Baxter
Chester Morris
Lewis Stone
Wallace Beery
Jackie Gleason
Kevin Costner
Chris Farley
Adolphe Menjou
Jackie Cooper
Richard Dix
Alfred Lunt
Steve McQueen
Mickey Spillane
Frank Morgan
Franchot Tone
Walter Huston
Bob Newhart
Raymond Massey
Walter Pidgeon
Monty Woolley
Paul Lukas
Bob Crane
Merlin Santana
Richard Simmons
Ryan Stiles
William Holden
Mervyn LeRoy
Simon Rex
Shaquille O'Neal
Joe Louis
Ice Cube
Leif Erickson
James Coburn
Willie Nelson
Eddie Bracken
Cornel Wilde
Larry Parks
John Garfield
Lew Ayres
Montgomery Clift
Harpo Marx
Rudy Vallée
Dean Martin
Vincent Price
Don Rickles
Richard Gere
Clifton Webb
Broderick Crawford
Will Smith
Ken Norton
Howie Dorough
Truman Capote
Henry Wilcoxon
Laurence Fishburne
Dwayne Johnson
Tahj Mowry
Stepin Fetchit
Louis Calhern
Arthur Kennedy
Allan Sherman
Burl Ives
Cuba Gooding Jr.
Julian Beck
Will Sampson
Bruiser Brody
Randolph Scott
George Carlin
George Clooney
Bill Cosby
Dana Andrews
River Phoenix
David Boreanaz
Alexis Denisof
J. August Richards
Edward Norton
Ben Affleck
Richard Dreyfuss
Bow Wow
Alex D. Linz
Adam Lamberg
Will Rogers
Andy Devine
Rodney Dangerfield
Lance Bass
Robert Duvall
Bob Hope
Dan O'Herlihy
Ernest Borgnine
Rock Hudson
Anthony Franciosa
Alan Arkin
Cliff Robertson
Melvyn Douglas
Ryan O'Neal
Chuck Norris
John Stamos
Harry Dean Stanton
Tobey Maguire
Paul Winfield
Art Carney
James Whitmore
Roddy McDowall
Viggo Mortensen
Elijah Wood
Ethan Hawke
Roy Scheider
Ricky Nelson
Lenny Kravitz
Isaac Hayes
David Hasselhoff
Nat King Cole
Matt Damon
Frankie Muniz
Fabian Forte
Pat Boone
Anthony Perkins
Sal Mineo
Christopher Walken
Kris Kristofferson
F. Murray Abraham
Sam Waterston
William Hurt
James Garner
Master P
James Woods
Vincent Schiavelli
Billy Ray Cyrus
Chico Marx
Dwight Yoakam
David Schwimmer
Don O'Kelly
LL Cool J
Brian Forster
Danny Bonaduce
Jeremy Gelbwaks
Matthew Wood
Edward James Olmos
Sam Shepard
Robert Downey Jr.
B. J. Thomas
Richard Crenna
Juvenile
Chris Rock
Woody Harrelson
Peter Fonda
Richard Farnsworth
Ed Harris
Luis Vigoreaux
Harold Lloyd
Richard Keith
Edward G. Robinson
John Malkovich
Charles Ludlam
Gene Autry
Chris Smith
Buster Crabbe
Tommy Muñiz
Hoagy Carmichael
Zeppo Marx
Burt Reynolds
Ray Bolger
Joaquin Phoenix
Matt Frewer
Buddy Ebsen
Will Ferrell
Bob Denver
Liberace
Adalberto Rodríguez
Steve Buscemi
Pierce Brosnan
Robert Young
Russ Meyer
Frankie Valli
Alec Baldwin
Stephen Baldwin
William Baldwin
Chris Tucker
Edward Everett Horton
Jack Pickford
Roy Rogers
Hal Linden
Charles Correll
Freeman Gosden
Bert Williams
Tim Allen
Jason Marsden
Jackie Coogan
Redd Foxx
Joe Pantoliano
Edward F. Cline
Sammy Davis Jr.
Carlos Bernard
Spalding Gray
Matthew Broderick
Don Johnson
Frank Evans
Adrien Brody
John Gilbert
Sid Caesar
Jack Mercer
Michael Jeter
Sean Gullette
Divine
Dick Powell
Dick Gregory
Brandon Lee
Charles Bronson
Vince Neil
Tonio Selwart
Casey Kasem
W. C. Fields
Morey Amsterdam
Ricky Schroder
Macaulay Culkin
Ben Vereen
Willem Dafoe
James Marsters
Nicholas Brendon
Dennis O'Keefe
Usher
Ted Danson
Richard Lewis
Vincent Gallo
Rob Schneider
Luke Perry
Kurt Russell
Harvey Fierstein
Kevin Kline
Ian Ziering
Rob Lowe
John Cusack
Jonathan Winters
Brian Austin Green
Sam Wanamaker
Charles Grodin
Sid Davis
Robert Stack
Richard Dawson
Ray Romano
Tennessee Ernie Ford
Robert Vaughn
Douglas Fairbanks Jr.
Arthur Q. Bryan
Vincent D'Onofrio
Richard Pryor
Ben Turpin
Pigmeat Markham
Matthew Perry
Chris Isaak
Michael Keaton
Jon Stewart
C. Thomas Howell
Leo Carrillo
Anthony Michael Hall
Robert Blake
Eddie Cantor
Don Adams
Josh Taylor
Ed Wynn
Jim Backus
Ray Walston
Richard Basehart
Josh Hartnett
Paul Walker
James Maxwell
